identity,role,category,category_index,direct_identity,current_behavior,target_disposition,deterministic_knowledge_semantics,representation,byte_owner,timing_class,action_trigger,preflight_postflight_placement,freshness_authority,ambiguity_policy,omission_policy,raw_preservation_rule,decision_eligibility,model_visibility,migration_work,status,receipt
GT_L6_FRESH,mediator,CAP,20,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_LANE_ENVELOPE,mediator,CAP,21,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_LOC_RESLOT,byte_owner,CAP,22,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,true,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
GT_NUDGE_NATIVE,mediator,CAP,23,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_OBLIGATION_FRESHNESS,eligibility,CAP,24,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_PATCH_DELTA,byte_owner,CAP,25,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,true,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
GT_POST_SEARCH,eligibility,CAP,26,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_POST_SEARCH_NATIVE,mediator,CAP,27,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_REGISTRY_ENFORCE,eligibility,CAP,28,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SCOPE_NATIVE,mediator,CAP,29,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_SEM_BODY,mediator,CAP,30,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_ACK_FORM,mediator,CAP,31,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_SS_ACK_METRICS,mediator,CAP,32,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_SS_ARBITER_V2,mediator,CAP,33,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_SS_COHERENCE_V2,mediator,CAP,34,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_DEDUP2,eligibility,CAP,35,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_ELIGIBILITY,eligibility,CAP,36,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_EXEC_TRUTH,eligibility,CAP,37,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_LATE_DROP,eligibility,CAP,38,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_NOVELTY,eligibility,CAP,39,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_PROVENANCE,mediator,CAP,40,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_RECOVERY_V2,eligibility,CAP,41,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_SHADOW,eligibility,CAP,42,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_SS_SUBMIT_RED,byte_owner,CAP,43,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,true,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
GT_STEER_NATIVE,mediator,CAP,44,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_VERIFICATION_PLAN,mediator,CAP,45,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_VERIFY_EXECUTE,mediator,CAP,46,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
GT_XSESSION_MEMORY,eligibility,CAP,47,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
GT_XSESSION_RANKUP,mediator,CAP,48,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
caller_contract,fact,FACT,1,true,source:to_determine,BUILD,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
cochange_prior,fact,FACT,2,false,source:to_determine,REMOVE,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,removed,
covering_red,fact,FACT,3,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
def_partition,fact,FACT,4,true,source:to_determine,BUILD,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
localization,fact,FACT,5,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
newfile_precedent,fact,FACT,6,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
obligations,fact,FACT,7,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
recovery,fact,FACT,8,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
signature_delta,fact,FACT,9,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
submit_refusal,fact,FACT,10,true,source:to_determine,BUILD,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
syntax_result,fact,FACT,11,true,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,true,source:to_determine,pending,
gold_in_L1_top_k,perf,PERF,1,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
gold_rank,perf,PERF,2,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
files_to_gold_view,perf,PERF,3,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
steps_to_gold_view,perf,PERF,4,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
files_to_gold_edit,perf,PERF,5,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
steps_to_gold_edit,perf,PERF,6,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
localization_precision,perf,PERF,7,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
localization_recall,perf,PERF,8,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
false_file_rate,perf,PERF,9,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
exploration_ratio,perf,PERF,10,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
gold_view_precision,perf,PERF,11,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
wasted_views,perf,PERF,12,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
navigation_directness,perf,PERF,13,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
self_localization_needed,perf,PERF,14,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
edit_attempts_per_gold,perf,PERF,15,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
rewrite_count,perf,PERF,16,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
compile_failures_after_edit,perf,PERF,17,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
edit_revert_rate,perf,PERF,18,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
first_edit_correctness,perf,PERF,19,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
patch_size,perf,PERF,20,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
patch_files,perf,PERF,21,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
contract_compliance_rate,perf,PERF,22,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
signature_changes_warned,perf,PERF,23,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
p2p_regression_rate,perf,PERF,24,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
caller_breakage_count,perf,PERF,25,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
scope_coverage,perf,PERF,26,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
scope_excess,perf,PERF,27,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
multi_file_discovery,perf,PERF,28,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
scope_gap_files,perf,PERF,29,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
degenerate_loop_count,perf,PERF,30,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
steps_in_loops,perf,PERF,31,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
nudge_recovery_steps,perf,PERF,32,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
coherence_collapse_count,perf,PERF,33,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
stuck_duration,perf,PERF,34,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
test_before_submit,perf,PERF,35,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
test_runs_total,perf,PERF,36,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
test_edit_ratio,perf,PERF,37,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
obligation_test_rate,perf,PERF,38,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
verify_gap,perf,PERF,39,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
impact_rate,perf,PERF,40,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
per_tag_impact,perf,PERF,41,false,source:to_determine,KEEP,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
gt_tokens_injected,perf,PERF,42,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
gt_tokens_per_pivot,perf,PERF,43,false,source:to_determine,MODIFY,source:to_determine,source:to_determine,false,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,source:to_determine,false,source:to_determine,pending,
